stop_id,stop_name,stop_lat,stop_lon,location_type,x_m,y_m
quits.surpasses.faced,Shubra Al Kheima Metro Station,30.1243566699951,31.2424220413455,0,330684.14714024914,3333868.8086582427
sharpened.populate.cave,Ard Khedr Pedestrian Bridge - Shubra Al Kheima,30.129260402903,31.2386346642475,0,330327.6225768454,3334417.946658689
uproot.pods.closer,Shubra Al Kheima City Council,30.1201177388481,31.2431854460633,0,330750.469217982,3333397.849091157
quiz.excavated.flukes,Shubra Al Kheima Metro Station,30.1224348961305,31.2437707750089,0,330810.8197490907,3333653.806024769
focus.skate.mercy,Obour Square - 3rd Settlement,29.9840455842467,31.4378832379703,0,349303.9458750249,3318044.2888608263
clan.according.joggers,Arabella Square,29.9855780558395,31.4303908725612,0,348583.3988285718,3318224.006452906
switched.guilty.balconies,Gamal Abd Al Nasser Square - 5th Settlement,29.9903871733311,31.4306728266689,0,348617.90018419805,3318756.622919302
dumpling.haystack.nerve,Maahad - 5th Settlement,29.9929624820627,31.4342549577404,0,348967.38678084913,3319037.314118625
costs.slope.blink,Ommal Square - 5th Settlement,29.997120000315,31.4322399782727,0,348779.3009607305,3319500.74528725
race.pardon.nourished,Al Saraya Mall - 5th Settlement,29.9962974005169,31.430649339886,0,348624.6054218329,3319411.6781454957
boils.costly.attitudes,Akhnaton School,30.0062712960703,31.4143240546947,0,347065.0109689806,3320538.763740815
enter.berated.ideals,Silver Star Mall - 5th Settlement,30.0033129729832,31.420347026123,0,347641.46617553895,3320202.866933656
relatives.lifetimes.control,Gas - 5th Settlement,30.0148157675246,31.416283481063,0,347267.11293855705,3321483.1290488476
tastes.prettiest.ticking,Al Manarah Center For International Conferences,30.018321478365,31.3862174268511,0,344372.65029254375,3321912.1566205453
shows.coolest.triangles,Military Cemetery - N/A Axis,30.022703999316,31.3526207165228,0,341139.2495741694,3322444.0252292044
trip.uncle.portable,Cemeteries - Maadi,30.0214311522926,31.3450010713379,0,340402.32691007794,3322313.552812962
poses.baseless.yard,Al Shaheed Axis,30.0240102507797,31.3433013601109,0,340242.53109866584,3322601.769934213
persuade.creamed.towel,Ahmed Badawi Street,30.0690048867618,31.2453127707643,0,330868.42246608634,3327729.5661513023
turntable.hobble.courtyard,Ahmed Oraby Street,30.0608935782172,31.2426405963695,0,330596.9965628844,3326834.503538541
pills.compiler.calculating,Ramses Railway Station,30.06196,31.24802,0,331117.44361095456,3326944.741858362
chains.bandaged.subway,Al Laimoon Bridge,30.0620547170883,31.2460531655768,0,330927.9814404325,3326958.146954542
evoke.bothered.releasing,Egyptian Media Production City - EMPC,29.9692065074274,31.0177718322379,0,308740.4298861194,3317026.292294033
bandstand.distract.ants,Souq Al Gomla,29.9660580505085,31.0287608866384,0,309794.9445227616,3316659.0308135804
mainly.styled.sometimes,Al Salam Mosque - Wahat Road,29.9643134253519,31.0347303337959,0,310367.7370005811,3316455.766690242
milder.daydream.smelter,Al Fardous Compound Entrance - 6th of October,29.9587032968488,31.0541027827506,0,312226.83150348015,3315802.0567399827
shackles.levels.fidelity,Al Ashgar District,29.9581052862614,31.0673783548533,0,313507.0131271107,3315714.1087003276
creatures.nicer.large,Zewail Road - Wahat Road,29.956125897676,31.077572270412,0,314487.2092493084,3315478.1805773107
bench.stockpile.outnumber,Ebny Baitak - Wahat Road,29.9558908208679,31.0787100979698,0,314596.5930755991,3315450.284847384
excusing.tweaked.care,Ahram Gardens Resort - 6th of October,29.9516562127504,31.0876689473699,0,315453.4548230814,3314966.477178002
eruptions.describe.chuckling,Mina Gate 4 - Hadayek Al Ahram,29.9518325884214,31.0879492701044,0,315480.8378479061,3314985.575372938
tomato.flat.extreme,Hadayek Al Ahram Gate 3,29.9485198867274,31.0952873522878,0,316183.02270850865,3314606.618706408
denim.fired.cutlets,Al Fayoum Road,29.9470306641568,31.0995716747397,0,316593.82983006304,3314434.6983079244
edicts.neckline.sometimes,Khafraa Gate - Hadayek Al Ahram,29.9642360440991,31.1084169109882,0,317479.0698977745,3316327.5965033593
labs.shark.recliner,Khofo Gate - Hadayek Al Ahram,29.9775873164255,31.1122104224735,0,317869.5431834513,3317801.391309243
saunas.straddled.alley,Credit Agricole - Al Mansoreya Road,29.9873478366547,31.1322638068285,0,319822.23404579115,3318851.5239123935
wicket.regularly.thrashed,Roushdy Pharmacy - Al Remaya,29.9910780364522,31.1307060175971,0,319678.674179483,3319267.42126545
equal.paradise.freezers,Al Shabrawy - Al Mansoreya Road,29.9899656978479,31.1349784763112,0,320088.8833656623,3319137.415151795
infringe.swooned.erupt,Haram Mashaal - Al Mansoreya Road,29.98682,31.14136,0,320698.93708617677,3318778.7502265936
ourselves.comedians.ships,QNB Bank - Haram Street,29.9886941673742,31.1465818973751,0,321206.13652951655,3318978.317262677
iceberg.landlords.interacts,Total Gas Station - Haram Marioteya,29.9912064920027,31.1528904559775,0,321819.3000095055,3319246.9475539494
collapsed.strategy.backed,Al Mokhtabar - Haram Street,29.9924152554442,31.1566255496712,0,322181.8224899343,3319375.119710424
magnetic.lyrics.heat,Al Areesh - Haram Street,29.9939140513015,31.1600738946129,0,322517.1869513886,3319535.893866476
they.customers.wasps,Al Shabrawy - Haram Street,29.9948041548568,31.1624681367723,0,322749.7623608804,3319630.8429206978
tinsel.sector.verb,Bayt Al Karam Al Shamy - Haram Street,29.997168951056,31.168687339429,0,323353.9659395905,3319883.341734235
happening.camcorder.habits,Arab African Bank - Haram Street,29.9981689301515,31.1718370811488,0,323659.60661157523,3319989.322576413
retrieves.foreheads.brink,Civil Registry - Haram Street,29.9993075045465,31.174510420089,0,323919.5256843699,3320111.4053087747
shorten.overlooks.awaiting,Three Pyramids Hotel,30.0006757068293,31.1781320349863,0,324271.3254388848,3320257.4896628843
cashiers.buckling.livid,General Administration Of Topographic Maps,30.0021609946449,31.1820840824237,0,324655.1981807606,3320416.0561630144
developed.starts.fuss,Al Salam Mosque - Haram Street,30.0037279026096,31.1862360279888,0,325058.48637213383,3320583.3765843003
leads.promotes.chaos,Radobis Cinema - Haram Street,30.0066866544429,31.1944996026141,0,325860.8289210524,3320898.7178640636
comfort.geek.tidal,Oriental Weavers - Haram,30.0103976907084,31.2041475628537,0,326797.97118993814,3321295.400376648
gossiped.economics.cackling,Giza Metro Station,30.0111473031911,31.2058169112708,0,326960.30068166275,3321375.9601056073
guardian.cropping.strays,Misr Gas Station - Giza Square,30.0137300925798,31.2089647462701,0,327268.4203415151,3321657.471834341
selects.thrusters.elevate,October Microbus Stop,30.0144893095305,31.2098103127152,0,327351.2976696091,3321740.344635994
painters.doubt.lump,Ragab Sons - Al Shabab Street - Obour,30.2654927000258,31.4771108397176,0,353504.85749539675,3349186.076467831
heave.rounds.chap,Al Mostaqbal Square - Obour,30.2673245391454,31.4793008099939,0,353718.26399588725,3349386.2816708386
prospered.stand.elections,EPx Logistics For Transportation And Warehousing - Obour,30.2605634781564,31.4724962985583,0,353053.5652102792,3348645.7183151287
snore.anchovies.shape,Al Shaheed Square - Obour,30.2581450154977,31.4700336574225,0,352813.02264411363,3348380.8616014877
parked.bedroom.sailors,Safwa Clinics - Obour,30.2561869691665,31.4678488307737,0,352599.8866433527,3348166.6784308585
heads.taxi.loafing,Safwa Clinics - Obour,30.2562739280078,31.4677013496824,0,352585.8264983826,3348176.5075117587
path.delight.flinches,Plaza Club - Obour,30.2521865959645,31.4636759552695,0,352192.3975297036,3347728.7268921016
pounces.nodded.sediment,Plaza Club - Obour,30.2524590412215,31.4637668353601,0,352201.5500073414,3347758.804423455
clattered.young.super,Al Taawon Gas Station - Al Shabab Street - Obour,30.2476150445163,31.4589486884355,0,351730.6724772864,3347228.2073931876
excavated.tiptoes.visits,Banha University - Obour,30.244685381792,31.4593685389068,0,351766.67345458805,3346902.9591800035
illogical.partner.agenda,Obour City Authority,30.2390361390059,31.4582424430437,0,351649.82448726986,3346278.3102628975
