id,Feature_ID,Vehicles_Per_Hour,geometry
vehicles_per_segment_combined_simp.70,70,7.0,"LINESTRING (329523.08168163704 3329598.3244330757, 329495.9419883955 3329606.7899376242, 329540.33663763525 3329615.9693733035, 329558.25755219744 3329621.4568184703, 329585.1318620852 3329632.348849226, 329606.7257346523 3329638.444701803, 329624.86027802096 3329639.0509943366, 329635.6316533737 3329637.3322606888, 329654.7891001757 3329629.275501118, 329683.44855915307 3329605.994503523, 329716.4219984696 3329574.8865036624, 329736.06367744564 3329560.724973894, 329876.5736998721 3329488.3773967456, 329976.2992309554 3329434.5101806996, 330027.90449137066 3329404.8893458256, 330042.51973264327 3329402.3356634523, 330050.60219079664 3329398.164453996)"
vehicles_per_segment_combined_simp.71,71,187.0,"LINESTRING (329523.08168163704 3329598.3244330757, 329547.7030977068 3329587.363661382, 329586.8303580308 3329573.898004468, 329597.5366174266 3329567.9674690156, 329607.253281501 3329560.389319872, 329615.49841237714 3329551.1710117273, 329621.9897055774 3329540.760359338, 329626.532667207 3329529.0495062037, 329629.13758209697 3329516.703465572, 329645.0310467981 3329492.4004174094)"
vehicles_per_segment_combined_simp.72,72,56.0,"LINESTRING (329523.08168163704 3329598.3244330757, 329495.9419883955 3329606.7899376242, 329544.78480543796 3329604.370807956, 329566.49776694016 3329605.6976529974, 329585.17949106585 3329610.5081910472, 329606.4290181035 3329619.2700753994, 329625.205019576 3329630.176658551, 329643.94975621405 3329645.2965306626, 329673.56277105515 3329677.4319970566, 329696.0725296715 3329705.3537589093, 329724.5843573825 3329753.581437069, 329741.4906324296 3329793.2304938696, 329821.0609462656 3330026.141858409, 329833.204328398 3330063.3148109596, 329836.41149365605 3330077.455635466, 329836.2024089701 3330088.877700761, 329837.0187398903 3330077.2611095216)"
vehicles_per_segment_combined_simp.73,73,38.0,"LINESTRING (329523.08168163704 3329598.3244330757, 329497.7756314529 3329594.4557970385, 329531.6180401205 3329594.5970045794, 329568.0076951289 3329597.3595912014, 329582.8081945175 3329600.567261334, 329615.79267488746 3329613.803781307, 329638.40323774307 3329629.529003641, 329669.92347708787 3329660.304605262, 329702.93352174194 3329700.147969604, 329731.0477870148 3329747.605774627, 329748.8472266018 3329788.9039666485, 329845.25866825215 3330069.7802493363, 329919.40656061895 3330201.558566726, 329912.9598326932 3330205.4829197116)"
vehicles_per_segment_combined_simp.74,74,4.0,"LINESTRING (329523.08168163704 3329598.3244330757, 329547.7030977068 3329587.363661382, 329571.4903065552 3329585.665121284, 329623.14011370076 3329590.1872394956, 329650.89979295386 3329589.7577568525, 329676.3911195952 3329586.0375561495, 329721.14883968694 3329568.826835669, 329745.59794194874 3329553.814947901, 329839.6833245434 3329503.137765995, 329850.51405007916 3329492.771071707, 330146.0466232012 3329338.544688582, 330153.6689141502 3329332.6622946262, 330162.83753679413 3329320.7695030104, 330090.5161883433 3329182.5313473768, 330083.55336338986 3329151.4865047187)"
vehicles_per_segment_combined_simp.75,75,12.0,"LINESTRING (329523.08168163704 3329598.3244330757, 329497.7756314529 3329594.4557970385, 329525.7198071759 3329587.260524446, 329554.5864062282 3329583.5986486617, 329591.1249340195 3329571.059979492, 329609.9195608862 3329558.241674368, 329616.555251785 3329550.9329340737, 329622.19277147774 3329541.4223924386, 329627.7843573425 3329522.7109774556, 329628.64786247746 3329472.58776901, 329630.58628824435 3329467.014654178, 329620.00758625113 3329437.578040034, 329592.88450584054 3329373.254023508, 329551.56389787816 3329282.4319299636, 329547.6629281524 3329260.874118399, 329547.1828517639 3329257.8882611715)"
vehicles_per_segment_combined_simp.76,76,29.0,"LINESTRING (329523.08168163704 3329598.3244330757, 329493.76454531914 3329609.373493897, 329535.209221321 3329614.82926053, 329561.9425807806 3329622.840992588, 329589.9821086131 3329634.269311686, 329612.62251445116 3329639.4620790905, 329624.38177117216 3329639.280123248, 329646.9436318134 3329633.166199034, 329657.3675560291 3329627.683537548)"
vehicles_per_segment_combined_simp.77,77,192.0,"LINESTRING (329273.5957396369 3328504.4167694408, 329269.0228672873 3328514.206962919, 329369.0784436735 3328717.7523268443, 329444.9617395735 3328879.7666852726)"
vehicles_per_segment_combined_simp.78,78,13.0,"LINESTRING (329273.5957396369 3328504.4167694408, 329265.3264001085 3328481.005486428, 329331.9344341138 3328461.126705174)"
vehicles_per_segment_combined_simp.79,79,4.0,"LINESTRING (329273.5957396369 3328504.4167694408, 329286.4379415385 3328518.0389780686, 329364.0366839317 3328672.3767917347, 329424.57779805886 3328802.478585764)"
