id,Feature_ID,Passengers_Per_Hour,geometry
passenger_flow_mpp.127,127,1061.0,"LINESTRING (339482.1352820825 3330645.960694291, 339492.455031846 3330659.5564395883, 339504.4189941123 3330666.9202404674, 339520.08336704795 3330670.239258195, 339534.12656439946 3330668.149952612, 339567.47751963336 3330674.6477609174)"
passenger_flow_mpp.128,128,1062.0,"LINESTRING (349806.63843418343 3325510.3426038795, 349818.6919238322 3325324.9091567635)"
passenger_flow_mpp.129,129,1064.0,"LINESTRING (347216.57236590877 3336026.644713789, 347416.4225958325 3336084.6145123565, 347458.3193016228 3336104.5404628203)"
passenger_flow_mpp.130,130,1067.0,"LINESTRING (339166.24580641894 3331265.969031436, 339192.3841936424 3331247.85213539)"
passenger_flow_mpp.131,131,1069.0,"LINESTRING (330923.1651085997 3330602.6049762703, 330926.1526524512 3330665.3069108105, 330928.7345442554 3330745.5312601975)"
passenger_flow_mpp.132,132,1071.0,"LINESTRING (340070.1390734293 3327585.087698516, 340088.8334092365 3327588.0201238045)"
passenger_flow_mpp.133,133,1072.0,"LINESTRING (337344.4507756913 3330456.0703913076, 337525.9837502431 3330359.4662577976)"
passenger_flow_mpp.134,134,1073.0,"LINESTRING (328990.6395281325 3329624.6034823894, 329011.9859713664 3329620.9460989404, 329020.2370091599 3329617.977669569)"
passenger_flow_mpp.135,135,1075.0,"LINESTRING (327489.44887120486 3325585.9802798987, 327502.60398156097 3325539.1010932475)"
passenger_flow_mpp.136,136,1079.0,"LINESTRING (326385.010733297 3324089.6900046053, 326468.2930767252 3324116.539207314, 326487.8290469887 3324122.2285778)"
passenger_flow_mpp.137,137,1084.0,"LINESTRING (339542.71864242386 3332691.4954189723, 339745.9736701633 3332869.783183172)"
passenger_flow_mpp.138,138,1085.0,"LINESTRING (337217.64027769887 3332607.4560448225, 337242.72128777124 3332598.024430996)"
passenger_flow_mpp.139,139,1086.0,"LINESTRING (339262.3447479481 3331232.719050411, 339392.6207956046 3331139.5263049565)"
passenger_flow_mpp.140,140,1087.0,"LINESTRING (332065.8571772316 3322788.844432649, 332132.12888375134 3322795.042305626)"
passenger_flow_mpp.141,141,1090.0,"LINESTRING (340335.8852903561 3330970.2138186125, 340333.95282867504 3330956.606527948, 340340.38390107313 3330948.0881511793, 340341.6575362106 3330942.859428445, 340339.25988838705 3330925.756935351)"
passenger_flow_mpp.142,142,1093.0,"LINESTRING (334682.19201403717 3318810.398873437, 334723.78853521764 3318774.802397288, 334755.19628270296 3318745.509881386, 334795.4862292826 3318703.5578161213, 334819.69349377975 3318670.2713845116)"
passenger_flow_mpp.143,143,1094.0,"LINESTRING (333618.00726569875 3324546.7352020694, 333679.1164366253 3324613.8380225725)"
passenger_flow_mpp.144,144,1096.0,"LINESTRING (339998.43196922576 3330833.837978088, 340232.36658498424 3330978.667907932)"
passenger_flow_mpp.145,145,1101.0,"LINESTRING (339328.7539815748 3331166.4545169887, 339328.3711960674 3331146.83842974, 339331.63178987405 3331132.4902828126, 339348.77742281 3331091.3260183544)"
passenger_flow_mpp.146,146,1102.0,"LINESTRING (333048.5377074376 3330623.8203209103, 333236.0684641222 3330581.511227697, 333277.9991537861 3330568.5705409087, 333504.7690115344 3330488.201107307)"
passenger_flow_mpp.147,147,1104.0,"LINESTRING (334947.19211233465 3318025.0612523714, 334960.30324493616 3317998.259779995, 334966.96466479765 3317875.5520963683, 334970.6424751752 3317834.993253983)"
passenger_flow_mpp.148,148,1105.0,"LINESTRING (329254.05269143544 3322242.955499949, 329307.6746739175 3322560.692569581)"
