Terminal_ID,Terminal_Name,Population_2018,Jobs_In_Hex,Vehicles_At_Terminal,Passengers_At_Terminal,Pax_Per_Vehicle_Ratio
269,Mazghuna,3390.0,341.0,16.0,0.0,0.0
270,Marioteya & Ring Rd,19860.0,2300.0,0.0,0.0,
271,Dokki,11857.0,31535.0,70.0,1502.484642533061,21.464066321900873
272,Roxy,10322.0,12715.0,91.0,3202.589660326882,35.19329297062508
273,Omraneyya,62055.0,13626.0,20.0,671.0,33.55
274,Al Sayeda Zeinab,39156.0,30762.0,0.0,5140.0,
275,Ard El Lewaa,37489.0,29136.0,0.0,0.0,
276,Moneeb,45234.0,4665.0,59.0,5251.0,89.0
277,Madinat Al Bo'oth Al Eslamyya,10138.0,7627.0,84.0,1322.0,15.738095238095237
279,Giza Square,16659.0,22093.0,1000.0,16073.484642533062,16.07348464253306
280,Abou Zaabal,2552.0,1029.0,0.0,0.0,
281,Dar El Salam,43428.0,8125.0,45.0,603.0,13.4
326,Mall of Arabia,111.0,1543.0,33.0,282.0,8.545454545454545
327,"Omara, Bashtil",53159.0,9991.0,0.0,0.0,
328,Akher Zahraa Street,82820.0,13835.0,50.0,1146.0,22.92
329,Awwel Gamal - Gesr EL Suez,11691.0,4039.0,18.0,331.0,18.38888888888889
330,Saray Al Qobba,18491.0,9946.0,81.0,1648.0,20.34567901234568
331,Abu Yusif (Ezbet El Haggana),10425.0,1417.0,0.0,0.0,
332,Awwel Al Qawmeyya Al Arabeyya,51255.0,19463.0,26.0,668.0,25.692307692307693
333,Al Qanatir Al Khayriyyah,5607.0,5290.0,0.0,0.0,
334,Bigam,55862.0,24283.0,90.0,3721.0,41.34444444444444
335,Kolleyet Al Zeraah (Cairo University),1374.0,15865.0,244.0,5399.484642533062,22.129035420217466
336,Al Omraneyya Al Gadida,46802.0,8699.0,57.0,1507.0,26.43859649122807
337,Masaken Dahshour,246.0,147.0,17.0,127.0,7.470588235294118
338,Al Bassous,8465.0,793.0,19.0,188.0,9.894736842105264
339,Wizarat District - New Administrative Capital,,,0.0,0.0,
340,R2 - New Administrative Capital,,,0.0,0.0,
341,Almaza Superjet,1568.0,1708.0,216.0,1797.0,8.319444444444445
342,Mabyadah Square - Rod El Farag,39632.0,9533.0,86.0,832.0,9.674418604651162
343,Kuwaiti Mosque - Zahraa Maadi,1289.0,1892.0,6.0,54.0,9.0
344,Carrefour - Maadi,5346.0,2239.0,197.0,1915.0,9.720812182741117
345,Al Waha (Garage Al Mostaqbal),2779.0,2280.0,0.0,0.0,
346,Hadayek AL Ahram (Second Gate),,,13.0,30.0,2.3076923076923075
347,October (MM),1113.0,117.0,10.0,0.0,0.0
348,Zayed (MM),1824.0,3007.0,0.0,0.0,
349,City Stars,11839.0,10525.0,24.0,557.0,23.208333333333332
351,Church (Kayan) - New Administrative Capital,,,0.0,0.0,
352,Al Mansheya Al Jadeeda,18043.0,2042.0,0.0,0.0,
353,Manshiyet Al Bakary,18043.0,2042.0,0.0,0.0,
354,Akher Tersa,24326.0,9195.0,72.0,421.0,5.847222222222222
355,Cairo Alexandria Agriculture Road,7539.0,811.0,63.0,941.076158675775,14.93771680437738
356,Jazirat Mohamed (2),7337.0,645.0,0.0,0.0,
357,Ezbat Khairallah,43248.0,4010.0,63.0,559.0,8.873015873015873
358,Wataneya Moqatam,5536.0,2033.0,301.0,2900.0436269551215,9.634696435066848
