Route_Code,Vehicle_Type,Route_Length_km,Vehicle_Capacity
SijHB3MvvH7y5f_lh6hO3,Microbus,3.91597558448986,14
BOX_6O002,Box,8.08772216452514,10
P_O_14_CA120,Microbus,4.82436905816945,14
CTA_99SS,Bus,12.9567467248787,49
XHoe5oRTlC1Ihm0e712t_,Microbus,4.8614847177202,14
j0B0wGsqFxUkOptBjcLvx,Minibus,19.6984551426956,33
5v34MuGjLYA0AFM7dhCCE,Bus,16.6505202084648,49
P_O_14_IC028,Microbus,15.6703563785818,14
G78c4G-oy20XNbcMYCzxY,Microbus,4.97274503373176,14
P_O_14_IC053,Microbus,15.8061381758588,14
Fuoze4mwamBt6aoqW-wJH,Microbus,4.30996775546971,14
pVHOF8IJskNhngPjJTJY5,Microbus,5.71780461420878,14
UydKv2gM1kSDyx7u4jZIV,Bus,11.4261019175789,49
eZRgIovK0tJAVzmhR85GR,Microbus,14.5071417167049,14
kv8R2uui-Di2K3gVwZO78,Microbus,16.0420067950535,14
P_O_14_IC056,Microbus,19.8891230520022,14
Ml8Z5Ycxg-taVluDdj9eh,Bus,21.4440674270153,49
8RzwcHgdiBJrQow3-bGIj,Microbus,5.56510164724489,14
lnb3vDxVc9ZLbejDbwGIm,Bus,18.5447298297788,49
P_O_14_IC092,Microbus,32.2255448649148,14
yjnyYheH7FsPkAk-gppMs,Microbus,7.32499778907548,14
24kdxuuUjA0qtjg6P-OPh,Bus,17.9979797911056,49
-lI1f278TKfnCnumdD48V,Microbus,1.85409991175653,14
kBtm-qZ0NnQ1idoAL_yfA,Bus,15.9955509898135,49
mwUKKpciQEKn_H2kOT4BD,Microbus,4.83437627835295,14
P_O_14_CA090,Microbus,13.6153830398992,14
P_O_14_IG020,Microbus,3.40533259902181,14
vPxZODNW0MlX1OZFVTl8e,Microbus,13.1803024970244,14
t-VkUnvixIVORTzsevcAZ,Bus,9.82321029325198,49
8X8gLBYp6o4Z9Dc0_MySn,Microbus,15.6653002902122,14
ldy3O2UlQPWYA4Jj8vJgN,Bus,13.8273519361934,49
fI_k2RnEr3Kvx-feFgZpe,Microbus,14.5411014384219,14
ivXdrHhB3_jqwPHGsvb9r,Microbus,4.66983864101161,14
4P_RC_FgHuWtFC8yoCbgz,Bus,20.4067127634547,49
lXqxNN6vXSyk0IYiGiSVf,Microbus,4.53434263599794,14
UkiuAl8JoV2LRVvfwCXZF,Minibus,19.1939273972212,33
CT0zYWqMQPGAbKnQfzLyJ,Bus,16.8301511803947,49
COOP_GZ009,Minibus,4.87108988577965,33
P_O_14_CA030,Microbus,3.10253186378857,14
P_B_8_6O020,Tomnaya,14.1485325175285,7
79A4DBdhOZXDQqFQNdq_5,Tomnaya,9.84771433873685,7
P_O_14_IC045,Microbus,9.65975547678157,14
COOP_GZ028,Minibus,4.69220654650591,33
ne9Df9bfGqa0RrCaPqNTA,Microbus,10.5910138325677,14
IcpqTJSZNZXngGCgzW0-u,Microbus,6.16827790892701,14
2nunj7L0d16GI8GHhNASo,Microbus,26.568549036273,14
P_O_14_CA082,Microbus,7.48304226103038,14
zRAXMgMRMVRhmAULPLo0R,Microbus,3.08790676757942,14
a857emSd0Eg9_C49Uly1i,Microbus,30.1025027312255,14
blJ-Wh52qAtvzY4CZegdj,Microbus,3.70395423383609,14
XXk6QOM27EiINNJVOjcue,Minibus,17.0762244639906,33
P_O_14_IC091,Microbus,30.8762727699949,14
P_O_14_CA119,Microbus,5.42768644856018,14
P_B_8_NC002,Tomnaya,3.49526226600326,7
P_O_14_CA053,Microbus,3.51963011493662,14
P_O_14_GZ018,Microbus,13.9397559788179,14
COOP_QA007,Minibus,10.9733255321439,33
CTA_31S,Bus,15.8386844304688,49
dZLGvivIWt6t7VSFtbMB9,Bus,15.3384353271028,49
dbjKnrgfrSA1JY3LJPYuQ,Microbus,11.3495057468392,14
21kZwsX6wTR98GRcou2yw,Bus,18.2100003735601,49
P_O_14_IC082,Microbus,24.4721913061946,14
dbjKnrgfrSA1JY3LJPYuQ,Microbus,12.2508167275295,14
yiVgiNyYpe2oH4ZTN0Baq,Microbus,19.9262653511386,14
GXDzdgrpKw9Tm5MLKMFPP,Microbus,8.25110531357004,14
QORyzDKyscDKk9XRt8ZYZ,Microbus,6.30499076749896,14
GxHvz209T3KnqSnTEacs-,Microbus,7.65494504166472,14
CTA_104S,Bus,10.9512372494723,49
yjnyYheH7FsPkAk-gppMs,Microbus,6.83041443051664,14
KmVdHOhRfUX8cw29qR_Vo,Tomnaya,4.98453887374603,7
P_O_14_CA164,Microbus,7.93315560536733,14
6K4_YEnZjlrZGldv7Yl2T,Microbus,6.79605760765937,14
rN_2eW65vTEH6zLEx4HC1,Microbus,8.55699009036466,14
P_O_14_GZ017,Microbus,11.4790324130228,14
xniqp9cSgkWVk0k63CbZl,Bus,17.4087879541302,49
COOP_IG081,Minibus,16.9677771263611,33
HRKfVI0GjLKHq6o9ulFba,Microbus,4.54347597860871,14
3WAtjq7S69P9s8WhLOr4f,Bus,21.6786548397309,49
YlvolLQ1uzaw8eiT89HI2,Bus,14.8852857542986,49
T9Z1u1IkkEycKE6B_nakJ,Microbus,4.82133244408511,14
MSR_Ms4,Minibus,38.9956975398083,33
P_B_8_IC068,Tomnaya,24.0770326245348,7
P_O_14_IG084,Microbus,8.54177592429146,14
P_B_8_6O019,Tomnaya,2.08840648639915,7
eMaHcYlisvFxLtiCbDGRM,Bus,11.8854976007237,49
blJ-Wh52qAtvzY4CZegdj,Microbus,4.43347038352708,14
w9djMYsSD5gf7qz9VLvjn,Microbus,13.8394523543645,14
e1xAb2o6cgzGY9iNvA5aG,Microbus,33.1753681793018,14
oBfdc8gljJblvRbAa0dmX,Microbus,4.88709444814159,14
BamKiGYQ3P_xZETsNX1a5,Microbus,9.91046549248266,14
h7v0GKemY5eE-eh4q1KCJ,Bus,19.8601948353142,49
pVHOF8IJskNhngPjJTJY5,Microbus,5.83962181360578,14
P_O_14_IG057,Microbus,16.7778837510998,14
P_O_14_CA108,Microbus,5.40393686313078,14
CTA_1108,Bus,21.8276625395903,49
YiqckBVvySeTMxSuhIb93,Microbus,13.9075461588486,14
BOX_6O023,Box,3.54391119211198,10
dM98F5uCHLC-eVa5-BvJZ,Microbus,18.5078775910684,14
