H3_Hex_ID,Population_2018,Jobs_In_Hex,Boarding_Total_Hex,Underserved_Score
883e6281c3fffff,51295,10232,771.0,0.2108196721311475
883e6281c5fffff,29705,4101,0.0,0.5495081967213115
883e6281c7fffff,35143,6508,0.0,0.5645901639344262
883e6281cbfffff,40095,7830,0.0,0.5822950819672131
883e6281d1fffff,51263,15933,3362.0,0.10032786885245903
883e6281d3fffff,50994,10217,8927.0,0.02163934426229508
883e6281d5fffff,51411,15395,1595.0,0.16459016393442616
883e6281d7fffff,51255,19463,25147.0,0.0
883e6281d9fffff,49548,20291,29604.0,0.0
883e6281ddfffff,51295,10232,0.0,0.6186885245901639
883e6281e1fffff,27549,4412,0.0,0.5416393442622951
883e6281e3fffff,45874,8519,1517.8772596192093,0.14819672131147543
883e6281e5fffff,7161,2494,774.0,0.0
883e6281e7fffff,31463,6137,1869.6433447034813,0.08196721311475419
883e6281ebfffff,29702,5254,2859.0,0.044590163934426275
883e628201fffff,4309,527,0.0,0.2157377049180328
883e628211fffff,3277,116,0.0,0.15934426229508197
883e628221fffff,4000,251,1591.0,0.0
883e628223fffff,6138,1320,0.0,0.30393442622950817
883e628227fffff,8101,1004,0.0,0.35737704918032787
883e62822dfffff,3421,433,0.0,0.17377049180327864
883e628231fffff,5920,3303,0.0,0.29377049180327863
883e628233fffff,5919,3481,8968.0,0.0
883e628239fffff,5920,2502,0.0,0.29377049180327863
883e62823bfffff,5920,3277,0.0,0.29377049180327863
883e628253fffff,3901,156,0.0,0.18688524590163935
883e628257fffff,3902,200,0.0,0.1878688524590164
883e628281fffff,5314,231,0.0,0.25901639344262295
883e62828bfffff,5315,158,0.0,0.25967213114754095
883e628291fffff,5427,653,0.0,0.26655737704918037
883e628293fffff,5427,684,0.0,0.26655737704918037
883e628297fffff,11247,3404,0.0,0.41573770491803275
883e62829bfffff,5521,365,0.0,0.26950819672131143
883e6282a1fffff,10311,312,0.0,0.40262295081967214
883e6282a3fffff,13992,3550,471.0,0.06688524590163925
883e6282a5fffff,7539,811,3482.0,0.0
883e6282a7fffff,25962,5527,186.0,0.1754098360655737
883e6282a9fffff,10530,152,0.0,0.4085245901639344
883e6282abfffff,3448,286,0.0,0.17442622950819675
883e6282adfffff,7286,1165,2349.0,0.0
883e6282b3fffff,40766,19155,5650.0,0.03344262295081957
883e6282b5fffff,41194,12192,1970.0,0.11081967213114752
883e6282b7fffff,45400,20881,13.0,0.27278688524590167
883e6282cbfffff,3505,242,0.0,0.17704918032786887
883e6282e1fffff,5919,3465,1809.0,0.0
883e6282e3fffff,6143,1198,0.0,0.30491803278688523
883e6282e5fffff,5919,3383,0.0,0.2911475409836065
883e6282e7fffff,6247,2760,0.0,0.30819672131147546
883e6282e9fffff,5834,3254,0.0,0.28590163934426227
883e6282edfffff,5919,2801,8401.0,0.0
883e628331fffff,7391,1248,0.0,0.3370491803278689
883e628335fffff,7232,1011,0.0,0.32918032786885243
883e628339fffff,5670,772,0.0,0.28
883e62833bfffff,5093,881,0.0,0.2511475409836066
883e62833dfffff,7731,997,0.0,0.34622950819672127
883e628351fffff,5727,5414,1657.0,0.0
883e628359fffff,4259,2378,0.0,0.2052459016393443
883e62835dfffff,5737,3762,5276.0,0.0
883e628401fffff,969,1137,0.0,0.0
883e628403fffff,969,1137,8881.0,0.0
883e628405fffff,988,1147,0.0,0.0
883e628407fffff,969,1137,0.0,0.0
883e628409fffff,7342,3613,0.0,0.3357377049180328
883e62840bfffff,969,1137,0.0,0.0
883e62840dfffff,6522,4142,478.0,0.0
883e628411fffff,969,1137,0.0,0.0
883e628413fffff,969,721,0.0,0.0
883e628415fffff,969,1137,0.0,0.0
883e628417fffff,969,900,0.0,0.0
883e628419fffff,969,1137,0.0,0.0
883e62841bfffff,969,923,0.0,0.0
883e62841dfffff,969,1137,0.0,0.0
883e628421fffff,978,1141,0.0,0.0
883e628423fffff,969,1137,4660.0,0.0
883e628425fffff,969,1137,0.0,0.0
883e628427fffff,969,1137,1863.3522226548118,0.0
883e628429fffff,5759,3502,3272.0,0.0
883e62842bfffff,969,1137,7259.527608802393,0.0
883e62842dfffff,8696,4942,0.0,0.36983606557377047
