Terminal_ID,Terminal_Name,Vehicles_At_Terminal,Passengers_At_Terminal,Pax_Per_Vehicle_Ratio,Veh_Segments_Count,Pax_Segments_Count,Empty_Return_Index,Veh_log,Pax_log,Empty_Severity
157,Akher Faisal,18.0,268.0,14.88888888888889,3,2,0.0,2.9444389791664403,5.594711379601839,0.0
158,Attaba,312.0,17798.0,57.044871794871796,5,23,0.0,5.746203190540153,9.786897554926753,0.0
159,Mosheer Ahmed Ismail (Sheraton),0.0,0.0,,0,0,,0.0,0.0,
160,Qalyoub Exit,110.0,1954.0761586757749,17.764328715234317,7,4,0.0,4.709530201312334,7.578184427505093,0.0
161,Nahda City,16.0,211.0,13.1875,2,2,0.0,2.833213344056216,5.356586274672012,0.0
162,Al Sayeda Nafeesa,27.0,468.0,17.333333333333332,3,10,0.0,3.332204510175204,6.150602768446279,0.0
163,Kit Kat Square,314.0,4254.552208234525,13.54952932558766,10,8,0.0,5.752572638825633,8.355979811255466,0.0
165,Asmarrat,8.0,246.0,30.75,2,4,0.0,2.1972245773362196,5.5093883366279774,0.0
166,Masaken Al Shorouq,28.0,233.0,8.321428571428571,1,5,0.0,3.367295829986474,5.455321115357702,0.0
167,Arab Al Tawaila,110.0,1658.0,15.072727272727272,3,12,0.0,4.709530201312334,7.413970290190444,0.0
168,Al Banhawi,256.0,6902.0,26.9609375,10,9,0.0,5.54907608489522,8.839711378703475,0.0
169,Sharabeya,0.0,0.0,,0,0,,0.0,0.0,
170,Awwel Makram Ebeid,119.0,1114.415280276708,9.364834288039564,3,4,0.0,4.787491742782046,7.016982063231089,0.0
171,Masaken Betcho,25.0,439.0,17.56,4,7,0.0,3.258096538021482,6.0867747269123065,0.0
172,Hadayeq Helwan,10.0,0.0,0.0,1,0,1.0,2.3978952727983707,0.0,2.3978952727983707
173,Ahmed Maher Hospital,838.0,11508.179754490513,13.732911401539992,8,8,0.0,6.732210706467206,9.350900235448531,0.0
174,Badrasheen,3.0,0.0,0.0,1,0,1.0,1.3862943611198906,0.0,1.3862943611198906
175,Saqqara,0.0,392.0,,0,2,,0.0,5.973809611869261,
176,26th of July & Ring Rd,167.0,1535.0267023643942,9.191776660864635,6,11,0.0,5.123963979403259,7.33695429790833,0.0
177,Madinat Al Talaba (Imbaba),62.0,203.3826623637137,3.2803655219953822,2,2,0.0,4.143134726391533,5.319994032636618,0.0
178,Haram Talbeya,164.0,2049.484642533061,12.496857576421105,6,5,0.0,5.10594547390058,7.6258314551835165,0.0
179,Haram Areesh (Sahl Hamza),135.0,2514.8409505722334,18.628451485720248,8,9,0.0,4.912654885736052,7.8303624006283,0.0
180,Basrawy,86.0,1360.0,15.813953488372093,2,4,0.0,4.465908118654584,7.215975002651466,0.0
182,Om Bayoumi (Mintay),7.0,317.2602620163441,45.32289457376344,1,2,0.0,2.0794415416798357,5.7628694820593465,0.0
183,Al Shaboory Canal,141.0,4737.0,33.59574468085106,2,2,0.0,4.955827057601261,8.463370384718731,0.0
184,Al Shari' Al Gadeed  (Bahteem),382.0,9693.0,25.37434554973822,10,10,0.0,5.948034989180646,9.17926241640532,0.0
185,Khosous,0.0,0.0,,0,0,,0.0,0.0,
186,Al Bassous Steps (Ring Rd),154.0,1179.846651407831,7.661341892258642,6,6,0.0,5.043425116919247,7.073986961371865,0.0
