Stop_Name,Morning_Formal_BA,Morning_Informal_BA,Daily_Formal_BA,Daily_Informal_BA,Morning_All_BA,Daily_All_BA,geometry,Formal_Share_Morning,Formal_Share_Daily,Formal_Percentage_Morning,Formal_Percentage_Daily,Dominant_Morning,Dominant_Daily,Dominance_Shifted
Al Abtal Club ( Ein Al Seera),274.0,395.0,302.0,527.0,669.0,829.0,POINT (331276.1939027631 3321878.683456837),0.40956651718983555,0.36429433051869725,0.40956651718983555,0.36429433051869725,Informal,Informal,False
Al Abyad Automotive ( Faisal St.),41.0,560.0,193.0,1248.0,601.0,1441.0,POINT (326274.4696617455 3321636.7054255214),0.06821963394342762,0.1339347675225538,0.06821963394342762,0.1339347675225538,Informal,Informal,False
Al Agouza Hospital,643.0,84.0,1071.0,84.0,727.0,1155.0,POINT (328013.4061385427 3326308.0723917787),0.8844566712517193,0.9272727272727272,0.8844566712517193,0.9272727272727272,Formal,Formal,False
Al Agouza Steps (October Bridge),630.0,972.0,1366.0,1112.0,1602.0,2478.0,POINT (328286.8572003462 3325485.875614682),0.39325842696629215,0.5512510088781275,0.39325842696629215,0.5512510088781275,Informal,Formal,True
Al Ahli Bank (Courniche Boulaq),474.0,0.0,642.0,68.0,474.0,710.0,POINT (329125.35191373806 3327003.5602354943),1.0,0.9042253521126761,1.0,0.9042253521126761,Formal,Formal,False
Al Ahli Bank (Faisal St.),538.0,545.0,1126.0,1617.0,1083.0,2743.0,POINT (324579.27840065304 3320901.118901571),0.4967682363804247,0.4104994531534816,0.4967682363804247,0.4104994531534816,Informal,Informal,False
Al Ahly Sporting Club,1256.0,114.90322287006849,2960.0,397.2368562079511,1210.443103888802,2710.092524384774,POINT (341414.3407414136 3327819.082864482),1.0376365448031692,1.0922136323267997,1.0376365448031692,1.0922136323267997,Formal,Formal,False
Al Ahly Sporting Club (Nasr City),532.0,0.0,748.0,256.0,532.0,1004.0,POINT (341398.5248326438 3327862.7302775406),1.0,0.7450199203187251,1.0,0.7450199203187251,Formal,Formal,False
Al Amir Steps (Ring Rd.),263.0,137.0,407.0,465.0,400.0,872.0,POINT (338082.90090085403 3338089.8700424396),0.6575,0.46674311926605505,0.6575,0.46674311926605505,Formal,Informal,True
Al Anabeeb - Waili,714.0,465.0,1410.0,665.0,1179.0,2075.0,POINT (334156.6337227913 3331120.845116021),0.6055979643765903,0.6795180722891566,0.6055979643765903,0.6795180722891566,Formal,Formal,False
