Feature_ID,Grid_ID,Jobs_Accessible_60min,H3_Hex_ID,Population_2018,Pop_Male,Pop_Female,Jobs_In_Hex,Jobs_Pct_Accessible_60min,geometry
64,64,2345,883e6049edfffff,1888,983,905,1046,0.0,"MULTIPOLYGON (((352150.55429396406 3342544.7962288014, 352725.2960490887 3342582.675068904, 353047.31883391505 3342102.228220881, 352794.61006734206 3341583.8951732437, 352219.8675622515 3341546.002236568, 351897.8336032083 3342026.456456586, 352150.55429396406 3342544.7962288014)))"
65,65,2061,883e604b21fffff,2191,1134,1057,1024,0.0,"MULTIPOLYGON (((347319.81364991586 3349752.274783756, 347894.664008165 3349790.0547282454, 348216.72385387914 3349309.5229266267, 347963.94454886095 3348791.2048066575, 347389.0932712375 3348753.4106648886, 347067.02221014496 3349233.948839899, 347319.81364991586 3349752.274783756)))"
66,66,2575,883e604b2dfffff,2192,1134,1057,1034,0.0,"MULTIPOLYGON (((346422.87330939487 3350195.044987808, 346997.74527576915 3350232.8185494095, 347319.81364991586 3349752.274783756, 347067.02221014496 3349233.948839899, 346492.1493136155 3349196.1610635016, 346170.06876366364 3349676.7123370008, 346422.87330939487 3350195.044987808)))"
67,67,2550,883e604b33fffff,953,495,457,1291,0.0,"MULTIPOLYGON (((350837.9755945258 3348980.1614897624, 351412.73678288853 3349017.9493503193, 351734.75600668986 3348537.461901204, 351482.02420795104 3348019.1791638643, 350907.2621050511 3347981.3760653427, 350585.23174545664 3348461.8709547515, 350837.9755945258 3348980.1614897624)))"
68,68,624,883e604b65fffff,2192,1134,1057,728,0.0,"MULTIPOLYGON (((345456.6301319677 3351636.7299567037, 346031.52469512227 3351674.483962875, 346353.600797466 3351193.923687897, 346100.7944940475 3350675.600768003, 345525.899928747 3350637.83251329, 345203.811645514 3351118.400318222, 345456.6301319677 3351636.7299567037)))"
69,69,819,883e604d23fffff,1434,759,674,495,0.0,"MULTIPOLYGON (((367044.46687601315 3340015.888236462, 367618.8286788992 3340053.7929865895, 367940.67318552616 3339573.532062096, 367688.1677276065 3339055.3580642804, 367113.8042666203 3339017.4384059957, 366791.94887680677 3339497.7076415964, 367044.46687601315 3340015.888236462)))"
70,70,4877,883e604d25fffff,1157,613,544,659,0.1,"MULTIPOLYGON (((365321.29088268045 3339902.166931133, 365895.69797923457 3339940.0746537144, 366217.56408600975 3339459.7939359145, 365965.03497056407 3338941.5971560893, 365390.62719362485 3338903.675589559, 365068.7491911571 3339383.9635381014, 365321.29088268045 3339902.166931133)))"
71,71,2368,883e604d27fffff,1435,760,674,819,0.0,"MULTIPOLYGON (((366217.56408600975 3339459.7939359145, 366791.94887680677 3339497.7076415964, 367113.8042666203 3339017.4384059957, 366861.2877161404 3338499.249342913, 366286.9032052697 3338461.320690824, 365965.03497056407 3338941.5971560893, 366217.56408600975 3339459.7939359145)))"
72,72,519,883e604d35fffff,1435,760,674,165,0.0,"MULTIPOLYGON (((367940.67318552616 3339573.532062096, 368515.01271959924 3339611.4427751456, 368836.8474745041 3339131.193284864, 368584.3535704174 3338613.0258908723, 368010.01336537255 3338575.101383816, 367688.1677276065 3339055.3580642804, 367940.67318552616 3339573.532062096)))"
73,73,400,883e604d37fffff,1301,689,612,149,0.0,"MULTIPOLYGON (((368836.8474745041 3339131.193284864, 369411.1647527861 3339169.109942006, 369732.9887948901 3338688.872982047, 369480.50738302135 3338170.7121755346, 368906.18944461446 3338132.7817419283, 368584.3535704174 3338613.0258908723, 368836.8474745041 3339131.193284864)))"
74,74,31,883e604d3dfffff,694,368,326,79,0.0,"MULTIPOLYGON (((367871.3365139371 3340571.957401972, 368445.6763168009 3340609.8543068795, 368767.50802366796 3340129.6006049556, 368515.01271959924 3339611.4427751456, 367940.67318552616 3339573.532062096, 367618.8286788992 3340053.7929865895, 367871.3365139371 3340571.957401972)))"
75,75,16,883e604d83fffff,535,285,250,6,0.0,"MULTIPOLYGON (((374901.10317741014 3339030.1396900415, 375475.26213686634 3339068.053136811, 375797.0109159629 3338587.888528504, 375544.6114623939 3338069.802248181, 374970.450874115 3338031.8740423913, 374648.69136051874 3338512.0468754936, 374901.10317741014 3339030.1396900415)))"
76,76,32,883e604d87fffff,385,205,180,15,0.0,"MULTIPOLYGON (((374074.5086291382 3338474.124516862, 374648.69136051874 3338512.0468754936, 374970.450874115 3338031.8740423913, 374718.04130700044 3337513.7716972497, 374143.8588974921 3337475.835650945, 373822.086688385 3337956.0156260263, 374074.5086291382 3338474.124516862)))"
77,77,293,883e604db1fffff,515,274,240,119,0.0,"MULTIPOLYGON (((375039.80372214614 3337033.604110181, 375613.9639776631 3337071.5459860847, 375935.71562422893 3336591.390774336, 375683.3196983539 3336073.286566356, 375109.1588231231 3336035.32992566, 374787.39449829905 3336515.493365603, 375039.80372214614 3337033.604110181)))"
78,78,915,883e604db3fffff,562,300,262,158,0.0,"MULTIPOLYGON (((375935.71562422893 3336591.390774336, 376509.8537511625 3336629.339569223, 376831.59558062087 3336149.1966982293, 376579.21098953934 3335631.0979356435, 376005.0732419889 3335593.136599115, 375683.3196983539 3336073.286566356, 375935.71562422893 3336591.390774336)))"
79,79,96,883e604db5fffff,120,64,56,0,0.0,"MULTIPOLYGON (((374213.2114581356 3336477.542537019, 374787.39449829905 3336515.493365603, 375109.1588231231 3336035.32992566, 374856.75186288904 3335517.209652419, 374282.56822776934 3335479.245152355, 373960.7921527198 3335959.4157048305, 374213.2114581356 3336477.542537019)))"
80,80,1131,883e604db7fffff,764,414,349,474,0.0,"MULTIPOLYGON (((375109.1588231231 3336035.32992566, 375683.3196983539 3336073.286566356, 376005.0732419889 3335593.136599115, 375752.67860245844 3335075.022880084, 375178.51714317093 3335037.052585438, 374856.75186288904 3335517.209652419, 375109.1588231231 3336035.32992566)))"
81,81,111,883e604dbdfffff,288,153,135,29,0.0,"MULTIPOLYGON (((374143.8588974921 3337475.835650945, 374718.04130700044 3337513.7716972497, 375039.80372214614 3337033.604110181, 374787.39449829905 3336515.493365603, 374213.2114581356 3336477.542537019, 373891.43730159 3336957.717245872, 374143.8588974921 3337475.835650945)))"
